"alpha0","beta","posterior_mass"
32.1686746987952,-2,1.37921743063999e-08
32.3293172690763,-2,9.55873931025208e-09
32.4899598393574,-2,6.58079966729573e-09
32.6506024096386,-2,4.50089473951637e-09
32.8112449799197,-2,3.05838807576966e-09
32.9718875502008,-2,2.06486070321218e-09
33.1325301204819,-2,1.38523584568987e-09
33.293172690763,-2,9.23466896635837e-10
33.4538152610442,-2,6.11804896832644e-10
33.6144578313253,-2,4.02835228611366e-10
33.7751004016064,-2,2.63629018713682e-10
33.9357429718875,-2,1.71489759605418e-10
34.0963855421687,-2,1.1088935532165e-10
34.2570281124498,-2,7.12812407843629e-11
34.4176706827309,-2,4.55534182170726e-11
34.578313253012,-2,2.8943643317477e-11
34.7389558232932,-2,1.82851149307038e-11
34.8995983935743,-2,1.14862911154252e-11
35.0602409638554,-2,7.17504339382742e-12
35.2208835341365,-2,4.45714132419795e-12
35.3815261044177,-2,2.7535922340234e-12
35.5421686746988,-2,1.69191297530138e-12
35.7028112449799,-2,1.03398690161605e-12
35.863453815261,-2,6.28541233438056e-13
36.0240963855422,-2,3.80064211861087e-13
36.1847389558233,-2,2.28616226535203e-13
36.3453815261044,-2,1.36806290911201e-13
36.5060240963855,-2,8.14471264426829e-14
36.6666666666667,-2,4.82433619228568e-14
36.8273092369478,-2,2.84323375568563e-14
36.9879518072289,-2,1.66733000572903e-14
37.14859437751,-2,9.72937749028871e-15
37.3092369477912,-2,5.6496718658535e-15
37.4698795180723,-2,3.26479548408503e-15
37.6305220883534,-2,1.87759941244465e-15
37.7911646586345,-2,1.07469057775511e-15
37.9518072289157,-2,6.1223273384226e-16
38.1124497991968,-2,3.47153101054318e-16
38.2730923694779,-2,1.95936560718763e-16
38.433734939759,-2,1.1008245635607e-16
38.5943775100402,-2,6.15668536530799e-17
38.7550200803213,-2,3.42783408146996e-17
38.9156626506024,-2,1.9000023292013e-17
39.0763052208835,-2,1.0484971777038e-17
39.2369477911647,-2,5.76071298067617e-18
39.3975903614458,-2,3.15135889298572e-18
39.5582329317269,-2,1.7165194928681e-18
39.718875502008,-2,9.30990451201907e-19
39.8795180722892,-2,5.02809500376754e-19
40.0401606425703,-2,2.7042037961118e-19
40.2008032128514,-2,1.44833417670208e-19
40.3614457831325,-2,7.72515270667788e-20
40.5220883534137,-2,4.10364338568981e-20
40.6827309236948,-2,2.1710584227923e-20
40.8433734939759,-2,1.14400436700996e-20
41.004016064257,-2,6.00416822561216e-21
41.1646586345382,-2,3.1387848890836e-21
41.3253012048193,-2,1.63443680743303e-21
41.4859437751004,-2,8.47787013189431e-22
41.6465863453815,-2,4.38057797260891e-22
41.8072289156626,-2,2.25484092746868e-22
41.9678714859438,-2,1.15625567352554e-22
42.1285140562249,-2,5.90688862720535e-23
42.289156626506,-2,3.00638033976349e-23
42.4497991967871,-2,1.52448245038905e-23
42.6104417670683,-2,7.70206663101799e-24
42.7710843373494,-2,3.8771380008337e-24
42.9317269076305,-2,1.944675067399e-24
43.0923694779116,-2,9.71912417515943e-25
43.2530120481928,-2,4.8402061678911e-25
43.4136546184739,-2,2.40198025978662e-25
43.574297188755,-2,1.18783440908628e-25
43.7349397590361,-2,5.85376348414903e-26
43.8955823293173,-2,2.87487527157055e-26
44.0562248995984,-2,1.40708079418044e-26
44.2168674698795,-2,6.86351745936557e-27
44.3775100401606,-2,3.33667173466208e-27
44.5381526104418,-2,1.61670385322945e-27
44.6987951807229,-2,7.80744267341559e-28
44.859437751004,-2,3.75802299985616e-28
45.0200803212851,-2,1.80298948847495e-28
45.1807228915663,-2,8.62225364578394e-29
45.3413654618474,-2,4.11010406115409e-29
